ROOT,#,0,NULL
實際,NOUN,10,advmod
上,ADP,1,acl
的,PART,1,case:dec
雙,NUM,5,nummod
筒,NOUN,7,nmod
望遠,VERB,7,case:suff
鏡,PART,10,nsubj
當然,ADV,10,advmod
多少,NUM,10,advmod
有些,VERB,0,root
誤差,NOUN,10,obj
。,PUNCT,10,punct
ROOT,#,0,NULL
遊戲,NOUN,7,nsubj
與,ADP,10,case
我們,PRON,6,det
的,PART,3,case:dec
日常,ADJ,6,amod
生活,NOUN,7,nsubj
有,VERB,0,root
相似,ADJ,10,amod
之,PART,8,mark:relcl
處,NOUN,7,obj
。,PUNCT,7,punct
ROOT,#,0,NULL
一些,ADJ,3,amod
安全,NOUN,14,advmod
專家,NOUN,14,nsubj
對,ADP,6,case
該,DET,6,det
課程,NOUN,8,det
的,PART,6,case:dec
設立,NOUN,14,obl
及,CCONJ,13,cc
其,PRON,13,det
背後,NOUN,13,det
的,PART,11,case:dec
意圖,NOUN,14,obl
提出,VERB,0,root
了,PART,14,case:aspect
質疑,NOUN,14,obj
。,PUNCT,14,punct
